parameters:
environment,env_size,num_envs,discount,tau,lr,update_rate,batch_size,device
SingleSnake,10,1300,0.99,0.01,0.0005,10,400,cuda
DATA:
step,mean,median,min,max,std,raw data
100,0.71,0.0,0.0,5.0,1.1857067,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200,1.82,1.0,0.0,8.0,2.1511858,0.0,0.0,5.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,7.0,7.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,5.0,1.0,0.0,3.0,5.0,2.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,6.0,0.0,6.0,1.0,6.0,6.0,2.0,7.0,1.0,0.0,2.0,5.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,6.0,1.0,1.0,0.0,1.0,7.0,0.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0
300,4.0,4.0,0.0,11.0,3.082207,0.0,7.0,4.0,0.0,1.0,0.0,10.0,0.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,6.0,3.0,8.0,8.0,4.0,10.0,3.0,7.0,3.0,2.0,6.0,4.0,8.0,0.0,7.0,0.0,0.0,2.0,3.0,3.0,11.0,1.0,1.0,5.0,0.0,8.0,2.0,0.0,3.0,0.0,8.0,5.0,0.0,5.0,0.0,10.0,8.0,3.0,7.0,1.0,5.0,6.0,4.0,3.0,8.0,8.0,6.0,8.0,1.0,1.0,0.0,6.0,6.0,10.0,1.0,3.0,7.0,4.0,0.0,2.0,7.0,1.0,5.0,10.0,0.0,0.0,5.0,7.0,1.0,4.0,7.0,10.0,3.0,6.0,1.0,3.0,3.0,6.0,0.0,2.0,8.0,5.0
400,5.62,6.0,0.0,16.0,4.049148,1.0,0.0,5.0,7.0,6.0,14.0,8.0,10.0,1.0,0.0,2.0,8.0,0.0,5.0,7.0,7.0,0.0,6.0,13.0,9.0,6.0,13.0,7.0,0.0,1.0,9.0,7.0,14.0,2.0,1.0,8.0,3.0,9.0,7.0,9.0,6.0,0.0,6.0,4.0,11.0,5.0,2.0,0.0,7.0,4.0,3.0,16.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,10.0,6.0,9.0,5.0,11.0,3.0,11.0,1.0,11.0,4.0,4.0,12.0,7.0,1.0,5.0,10.0,2.0,0.0,9.0,6.0,13.0,7.0,12.0,9.0,1.0,6.0,3.0,11.0,3.0,0.0,10.0,2.0,4.0,2.0,6.0,5.0,2.0,6.0,3.0,7.0,11.0,8.0,7.0,8.0,2.0,10.0
500,6.35,6.0,0.0,16.0,4.0530853,1.0,7.0,10.0,1.0,3.0,1.0,8.0,3.0,5.0,0.0,10.0,2.0,10.0,2.0,2.0,14.0,7.0,1.0,12.0,6.0,5.0,4.0,13.0,4.0,7.0,14.0,4.0,2.0,2.0,10.0,6.0,4.0,7.0,10.0,0.0,15.0,9.0,6.0,4.0,13.0,10.0,15.0,16.0,0.0,7.0,6.0,11.0,6.0,6.0,10.0,2.0,8.0,9.0,9.0,0.0,11.0,11.0,8.0,10.0,7.0,2.0,8.0,2.0,5.0,4.0,4.0,10.0,1.0,14.0,5.0,5.0,8.0,2.0,7.0,6.0,4.0,5.0,4.0,2.0,5.0,10.0,7.0,4.0,8.0,11.0,0.0,9.0,6.0,11.0,8.0,7.0,6.0,12.0,0.0,1.0,0.0,8.0,7.0,1.0,10.0
600,5.96,6.0,0.0,14.0,3.3464007,6.0,2.0,5.0,9.0,4.0,3.0,11.0,4.0,10.0,8.0,9.0,4.0,1.0,6.0,2.0,6.0,6.0,12.0,10.0,2.0,7.0,6.0,12.0,2.0,8.0,4.0,4.0,2.0,8.0,8.0,7.0,7.0,9.0,7.0,11.0,9.0,4.0,6.0,4.0,6.0,6.0,9.0,3.0,0.0,5.0,2.0,6.0,8.0,6.0,4.0,8.0,11.0,8.0,5.0,12.0,2.0,12.0,6.0,7.0,6.0,2.0,9.0,8.0,14.0,9.0,10.0,3.0,7.0,10.0,4.0,5.0,8.0,2.0,6.0,4.0,6.0,13.0,10.0,5.0,5.0,4.0,1.0,2.0,5.0,8.0,4.0,2.0,2.0,14.0,5.0,1.0,10.0,1.0,0.0,1.0,5.0,4.0,2.0,7.0,1.0
700,4.25,3.0,0.0,12.0,3.5365944,8.0,2.0,4.0,3.0,2.0,1.0,6.0,8.0,0.0,3.0,0.0,2.0,11.0,1.0,0.0,1.0,0.0,6.0,8.0,6.0,10.0,8.0,3.0,3.0,0.0,1.0,2.0,2.0,8.0,9.0,3.0,1.0,3.0,8.0,0.0,10.0,1.0,0.0,5.0,2.0,3.0,1.0,2.0,3.0,11.0,10.0,3.0,3.0,3.0,7.0,1.0,9.0,0.0,5.0,1.0,0.0,1.0,9.0,11.0,5.0,1.0,10.0,1.0,3.0,8.0,0.0,4.0,1.0,5.0,4.0,10.0,4.0,4.0,9.0,0.0,3.0,6.0,12.0,5.0,8.0,2.0,8.0,9.0,2.0,3.0,11.0,2.0,9.0,2.0,8.0,0.0,8.0,1.0,4.0,0.0,0.0,1.0,2.0,10.0,6.0
800,4.42,3.0,0.0,19.0,3.9602528,7.0,2.0,0.0,8.0,7.0,3.0,8.0,11.0,15.0,9.0,10.0,11.0,0.0,6.0,1.0,6.0,3.0,3.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,3.0,0.0,8.0,2.0,3.0,7.0,3.0,19.0,5.0,9.0,3.0,0.0,5.0,0.0,0.0,1.0,6.0,0.0,0.0,11.0,6.0,14.0,11.0,6.0,0.0,6.0,2.0,1.0,6.0,8.0,2.0,3.0,12.0,8.0,2.0,2.0,1.0,9.0,5.0,1.0,3.0,5.0,1.0,8.0,6.0,1.0,1.0,4.0,7.0,2.0,1.0,0.0,0.0,9.0,1.0,1.0,7.0,5.0,10.0,2.0,1.0,1.0,10.0,7.0,7.0,1.0,5.0,4.0,5.0,3.0,2.0,2.0,0.0,2.0,2.0
900,4.54,4.0,0.0,13.0,3.590042,0.0,5.0,9.0,6.0,5.0,6.0,11.0,4.0,11.0,4.0,5.0,2.0,2.0,1.0,1.0,7.0,8.0,3.0,0.0,6.0,1.0,1.0,1.0,1.0,8.0,7.0,6.0,0.0,8.0,1.0,1.0,0.0,5.0,0.0,7.0,9.0,1.0,1.0,4.0,4.0,1.0,9.0,1.0,7.0,12.0,1.0,1.0,7.0,2.0,0.0,9.0,9.0,2.0,8.0,9.0,11.0,7.0,5.0,0.0,4.0,1.0,7.0,7.0,5.0,13.0,3.0,6.0,1.0,7.0,6.0,5.0,10.0,8.0,12.0,0.0,1.0,7.0,2.0,5.0,4.0,3.0,0.0,8.0,12.0,2.0,2.0,1.0,2.0,11.0,6.0,0.0,3.0,0.0,8.0,1.0,4.0,1.0,9.0,2.0,2.0
1000,1.8,1.0,0.0,15.0,2.044505,3.0,2.0,1.0,4.0,4.0,2.0,2.0,0.0,1.0,2.0,1.0,4.0,1.0,2.0,0.0,5.0,1.0,1.0,0.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,7.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,15.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,8.0,0.0,2.0,2.0,4.0,0.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0
1100,1.54,1.0,0.0,6.0,1.2916656,3.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,6.0,1.0,0.0,2.0,3.0,0.0,3.0,1.0,4.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,6.0,0.0,3.0,0.0,4.0,2.0,0.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
1200,1.32,1.0,0.0,12.0,1.8159297,1.0,1.0,5.0,1.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,6.0,2.0,0.0,2.0,4.0,12.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,1.0,5.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0
1300,2.45,2.0,0.0,12.0,2.4387498,4.0,7.0,0.0,2.0,0.0,3.0,1.0,12.0,4.0,1.0,4.0,4.0,1.0,1.0,3.0,0.0,8.0,0.0,5.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,6.0,0.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,4.0,0.0,1.0,2.0,1.0,2.0,9.0,2.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,0.0,0.0,7.0,5.0,2.0,3.0,12.0,0.0,5.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,7.0,1.0,5.0,6.0,4.0,2.0,6.0,2.0,0.0,2.0,1.0,1.0,3.0
1400,2.89,2.0,0.0,12.0,2.719908,3.0,5.0,1.0,5.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,2.0,1.0,1.0,2.0,4.0,7.0,0.0,4.0,0.0,0.0,4.0,5.0,6.0,2.0,4.0,2.0,2.0,5.0,7.0,11.0,6.0,5.0,3.0,3.0,1.0,2.0,9.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,5.0,7.0,0.0,0.0,7.0,0.0,2.0,8.0,0.0,2.0,5.0,3.0,2.0,0.0,1.0,3.0,1.0,6.0,7.0,1.0,4.0,2.0,12.0,1.0,2.0,0.0,1.0,7.0,2.0,1.0,11.0,8.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,7.0,0.0
1500,5.1,5.0,0.0,17.0,3.9255574,0.0,9.0,1.0,5.0,5.0,11.0,2.0,9.0,6.0,11.0,12.0,1.0,5.0,9.0,3.0,8.0,1.0,17.0,2.0,0.0,0.0,4.0,2.0,2.0,3.0,1.0,0.0,3.0,4.0,9.0,6.0,0.0,3.0,2.0,5.0,9.0,10.0,0.0,1.0,4.0,8.0,8.0,3.0,5.0,0.0,4.0,8.0,3.0,10.0,0.0,8.0,5.0,0.0,13.0,2.0,1.0,6.0,1.0,6.0,1.0,11.0,5.0,0.0,9.0,5.0,13.0,4.0,7.0,9.0,4.0,15.0,6.0,2.0,1.0,7.0,0.0,0.0,6.0,7.0,13.0,2.0,12.0,8.0,10.0,3.0,6.0,2.0,4.0,4.0,2.0,9.0,9.0,6.0,6.0,0.0,3.0,6.0,4.0,6.0,7.0
